year,tas,pr,gpp,npp,region,model,ln_gpp,ln_npp,pct_growth_gpp,pct_growth_npp
2000,-17.332317234250198,1.189132120485878,0.001701593917654575,0.0012411682081007052,Greenland,ACCESS-ESM1-5,-6.376189868570663,-6.691702239558965,0.17919914450714103,0.17883968968573072
2001,-18.990552344154,1.032340233510144,0.0016051351988836862,0.0011731302942566883,Greenland,ACCESS-ESM1-5,-6.434547289883214,-6.748079637681792,-0.05835742131255106,-0.05637739812282749
2002,-17.649907566848267,1.1636785610066436,0.0012646559519421926,0.0009213161343669446,Greenland,ACCESS-ESM1-5,-6.672955168543748,-6.989707329393435,-0.23840787866053414,-0.2416276917116429
2003,-17.688008615559507,1.0329956319888944,0.0023888065490365942,0.0017460889774736038,Greenland,ACCESS-ESM1-5,-6.036961389623916,-6.350376862110831,0.6359937789198318,0.6393304672826039
2004,-17.326551690943358,1.1824117397685925,0.0020681683883208243,0.0015094201599963062,Greenland,ACCESS-ESM1-5,-6.181091899963794,-6.496029701904631,-0.14413051033987756,-0.14565283979379995
2005,-17.92574583719406,0.9627117109222515,0.002375813075912285,0.0017340191929752491,Greenland,ACCESS-ESM1-5,-6.0424155523306124,-6.357313332071866,0.13867634763318115,0.13871636983276492
2006,-17.173623639601672,1.13552373792362,0.0023055054663136364,0.0016782250104136589,Greenland,ACCESS-ESM1-5,-6.072455335331977,-6.390018585520741,-0.03003978300136456,-0.032705253448874316
2007,-16.43982131751659,1.2715552922797353,0.0017663909762867993,0.0012812060884897758,Greenland,ACCESS-ESM1-5,-6.338816810427835,-6.659953388063092,-0.2663614750958576,-0.2699348025423509
2008,-16.935994801565123,1.1870503579606477,0.0018258209767401292,0.0013269066434148525,Greenland,ACCESS-ESM1-5,-6.305725542831416,-6.624904877715861,0.03309126759641856,0.03504851034723089
2009,-16.953204746456837,1.1076718047247582,0.002246158286399854,0.0016351914156048006,Greenland,ACCESS-ESM1-5,-6.098533950349538,-6.415995407721114,0.20719159248187768,0.20890946999474647
2010,-16.660233613751938,1.2300630592620716,0.0017764505439652654,0.0012897962778608972,Greenland,ACCESS-ESM1-5,-6.3331379819195455,-6.653270997218725,-0.2346040315700071,-0.23727558949761107
2011,-17.88544149787838,1.006077548755052,0.0021532067039471826,0.0015678802197068617,Greenland,ACCESS-ESM1-5,-6.140797057801368,-6.458030750464896,0.19234092411817727,0.195240246753829
2012,-17.226039209859497,1.0330790728405412,0.00234342663097601,0.0017059221056204858,Greenland,ACCESS-ESM1-5,-6.056141048547966,-6.37364949002863,0.08465600925340233,0.08438126043626681
2013,-17.64871968645964,1.064431172447954,0.0023154684032016615,0.0016865143087951323,Greenland,ACCESS-ESM1-5,-6.068143277914304,-6.385091419184815,-0.012002229366338213,-0.01144192915618536
2014,-16.253826409380846,1.208842876528,0.0021650438419518045,0.0015750995349260717,Greenland,ACCESS-ESM1-5,-6.13531466740856,-6.453436811922915,-0.0671713894942556,-0.0683453927380997
1850,8.257333602589561,2.273397918777672,1.6886304667367942,0.9799846863830293,Denmark,ACCESS-ESM1-5,0.5239178256919382,-0.020218333579374893,,
1851,8.122450693025964,2.349168413306794,1.6684596205424256,0.9656933081157434,Denmark,ACCESS-ESM1-5,0.5119008178630555,-0.03490898160172906,-0.012017007828882709,-0.014690648022354168
1852,8.205795366929287,2.6412190236240374,1.6086484017140397,0.9318514001207825,Denmark,ACCESS-ESM1-5,0.475394324376223,-0.07058191893925261,-0.03650649348683255,-0.03567293733752355
1853,8.415223845734374,2.685340130946336,1.650978532114647,0.9527679180407155,Denmark,ACCESS-ESM1-5,0.5013681618944251,-0.04838393274983801,0.025973837518202147,0.022197986189414605
1854,9.046512143054496,2.389728992683483,1.6778666921010401,0.9489551883404268,Denmark,ACCESS-ESM1-5,0.517523160372469,-0.05239370136020386,0.016154998478043914,-0.004009768610365852
1855,8.552982976071096,2.3821384580670055,1.6438472967064048,0.9485361519381696,Denmark,ACCESS-ESM1-5,0.4970394071048072,-0.05283537548031618,-0.02048375326766183,-0.00044167412011231894
1856,9.451657725030106,2.750205819832959,1.7034026210443287,0.9619972772022595,Denmark,ACCESS-ESM1-5,0.5326277924370145,-0.03874365867151765,0.03558838533220732,0.014091716808798532
