year,tas,pr,gpp,npp,region,model,ln_gpp,ln_npp,pct_growth_gpp,pct_growth_npp
1850,22.28456948004832,2.492220916708533,2.6105179305915525,1.146716926054162,Zimbabwe,ACCESS-ESM1-5,0.9595486424874983,0.13690301261784102,,
1851,21.984716399580964,2.960061426939612,3.102750662347009,1.512765031672816,Zimbabwe,ACCESS-ESM1-5,1.1322890284984268,0.4139391231245802,0.17274038601092856,0.27703611050673915
1852,21.975311968796365,2.1599665774403887,2.2813304938542323,0.9986688181082469,Zimbabwe,ACCESS-ESM1-5,0.8247588227033621,-0.0013320687014582535,-0.30753020579506474,-0.41527119182603844
1853,21.983667323000212,2.9553746001843724,2.298427646332527,1.0334677505484549,Zimbabwe,ACCESS-ESM1-5,0.8322252571228383,0.03291989553909239,0.007466434419476253,0.034251964240550645
1854,22.707581166280246,2.6476174804613395,2.4021262770586604,1.0808609944377978,Zimbabwe,ACCESS-ESM1-5,0.8763542939073676,0.07775794059942423,0.044129036784529285,0.04483804506033184
1855,21.868548651586245,3.4400287307005395,2.697305122096216,1.3070015009594647,Zimbabwe,ACCESS-ESM1-5,0.992253171646541,0.267735583041934,0.1158988777391734,0.18997764244250978
1856,21.56123862045368,3.5725031105533978,2.871145091550476,1.4315436498187588,Zimbabwe,ACCESS-ESM1-5,1.0547109368004937,0.35875333745493543,0.06245776515395263,0.09101775441300142
1857,21.775683784767963,3.973100780763805,3.3415899616652025,1.6910495173923539,Zimbabwe,ACCESS-ESM1-5,1.206446730145922,0.5253493523927066,0.15173579334542842,0.1665960149377712
1858,20.823605138744515,3.4420282675230465,3.7315622193697013,1.9345224999860593,Zimbabwe,ACCESS-ESM1-5,1.316826971541062,0.6598605259959662,0.11038024139514002,0.1345111736032596
1859,21.51561391413069,3.4875936435988835,3.709414125200459,1.8667331694661222,Zimbabwe,ACCESS-ESM1-5,1.3108739464133,0.6241899349380935,-0.00595302512776219,-0.035670591057872736
1860,20.96241737768363,4.043319058237441,3.842815393841188,1.9856837759323225,Zimbabwe,ACCESS-ESM1-5,1.3462052734372694,0.6859633263248968,0.03533132702396946,0.06177339138680327
1861,21.00605070227452,2.676499357258638,3.826924211016096,1.9305199669456143,Zimbabwe,ACCESS-ESM1-5,1.3420614024889357,0.6577893795568378,-0.004143870948333683,-0.028173946768058955
1862,21.896468352090128,2.5305883718451656,3.5853099543109654,1.7518590873203372,Zimbabwe,ACCESS-ESM1-5,1.2768449289783954,0.5606775596678854,-0.06521647351054027,-0.09711181988895246
1863,21.017518760864867,5.00933120713853,3.765803858894327,1.912643052312902,Zimbabwe,ACCESS-ESM1-5,1.325961346800662,0.6484860825162599,0.0491164178222665,0.08780852284837459
1864,21.73216751947216,3.5576867959359024,3.921150517455205,1.9383413334458914,Zimbabwe,ACCESS-ESM1-5,1.3663851100906799,0.6618326246091639,0.040423763290017956,0.013346542092903979
1865,22.19430869741875,3.0536906833138175,3.68419862032047,1.763844748632906,Zimbabwe,ACCESS-ESM1-5,1.3040530312503957,0.567495942732328,-0.06233207884028413,-0.09433668187683597
1866,21.317351633796147,3.8675106769521785,3.66920612717372,1.8152575212564137,Zimbabwe,ACCESS-ESM1-5,1.2999753245456027,0.5962273426418506,-0.004077706704793016,0.02873139990952267
1867,21.49538403500045,3.4864936108044984,3.638744512472201,1.7859442463446336,Zimbabwe,ACCESS-ESM1-5,1.2916387079960918,0.5799472649147681,-0.0083366165495109,-0.01628007772708251
1868,21.617320620334898,3.66983680881969,3.6551090190747177,1.8010854417700226,Zimbabwe,ACCESS-ESM1-5,1.296125920137138,0.5883895063622547,0.004487212141046193,0.00844224144748662
1869,21.199248053203398,4.889357404940102,3.792956768832991,1.8955640978350625,Zimbabwe,ACCESS-ESM1-5,1.3331458650232983,0.6395164711952113,0.03701994488616034,0.051126964832956534
1870,21.34813664828571,4.983778548310372,3.9376246674898687,1.9622775313303722,Zimbabwe,ACCESS-ESM1-5,1.3705776652352626,0.6741058044170576,0.03743180021196424,0.03458933322184632
1871,21.46661524396602,3.797866721502697,3.598196267816951,1.748664075483698,Zimbabwe,ACCESS-ESM1-5,1.2804326831837125,0.558852110970498,-0.09014498205155008,-0.11525369344655956
1872,20.78420939047595,2.883088856552577,3.8213986251575407,1.9020077298534515,Zimbabwe,ACCESS-ESM1-5,1.3406164878486249,0.6429100281808979,0.060183804664912355,0.0840579172103999
1873,21.14648373724069,3.601240804616278,3.5121277112502014,1.715530154086735,Zimbabwe,ACCESS-ESM1-5,1.256222039362903,0.5397221605951329,-0.08439444848572175,-0.10318786758576504
1874,21.976238348292583,2.4739709809364996,3.184717281967882,1.4875622661212482,Zimbabwe,ACCESS-ESM1-5,1.1583635196110464,0.39713871713886983,-0.09785851975185667,-0.14258344345626306
1875,21.866867556128046,2.789284774123714,3.3190711193372007,1.6201359765458057,Zimbabwe,ACCESS-ESM1-5,1.1996849604495703,0.4825100818612383,0.04132144083852385,0.08537136472236845
1876,21.5707330771755,2.7462714896474125,3.1914541993216132,1.5337312929366707,Zimbabwe,ACCESS-ESM1-5,1.1604766747796091,0.4277035200242948,-0.03920828566996115,-0.05480656183694349
1877,21.890001153163084,3.1464726610861686,3.458769721676593,1.6759205733705624,Zimbabwe,ACCESS-ESM1-5,1.2409129540692312,0.5163626103465653,0.08043627928962205,0.08865909032227048
1878,21.660310062434434,2.798084056337001,3.518390473071036,1.72340406206341,Zimbabwe,ACCESS-ESM1-5,1.2580036330699904,0.5443014408263278,0.017090679000759224,0.027938830479762533
1879,21.82362851765286,3.6567814704204356,3.6634966235941975,1.8086258358255918,Zimbabwe,ACCESS-ESM1-5,1.298418052983554,0.5925673502081648,0.04041441991356365,0.04826590938183695
1880,21.546742570739475,3.1210377300681356,3.5634617860331033,1.7519597430574567,Zimbabwe,ACCESS-ESM1-5,1.2707324841849053,0.560735014543277,-0.027685568798648807,-0.031832335664887745
1881,21.146126207807274,3.7447518986233983,3.560211848532852,1.7729303674660681,Zimbabwe,ACCESS-ESM1-5,1.2698200511082536,0.5726337524720277,-0.0009124330766516753,0.011898737928750736
1882,20.867272613644847,4.127114766274723,3.8412299821233997,1.9419816606689715,Zimbabwe,ACCESS-ESM1-5,1.3457926231566648,0.6637089262967217,0.07597257204841124,0.09107517382469399
1883,21.480246714254427,2.56212526039385,3.592661460030945,1.716304339690944,Zimbabwe,ACCESS-ESM1-5,1.2788932816022893,0.5401733394726375,-0.06689934155437549,-0.12353558682408428
1884,21.226582216286502,3.532940230015671,3.732235481173604,1.8654225566848657,Zimbabwe,ACCESS-ESM1-5,1.3170073788438161,0.6234875993812208,0.03811409724152681,0.08331425990858332
1885,20.93658928737411,3.9138743711112562,3.755167715107804,1.876434603375898,Zimbabwe,ACCESS-ESM1-5,1.323132948694783,0.6293734886663863,0.006125569850966794,0.005885889285165535
1886,21.740641617219254,3.601689207927734,3.87150696413181,1.8969397282049565,Zimbabwe,ACCESS-ESM1-5,1.3536438276630698,0.6402419182841652,0.03051087896828686,0.010868429617778896
1887,22.226017286399458,2.234624549267623,3.319557098403497,1.5206203971112513,Zimbabwe,ACCESS-ESM1-5,1.1998313699339471,0.41911840757942964,-0.15381245772912266,-0.22112351070473557
1888,21.26143485245824,3.068912585963615,3.5051037672450778,1.7302496411881674,Zimbabwe,ACCESS-ESM1-5,1.2542201255390693,0.5482656993640982,0.05438875560512213,0.12914729178466855
1889,21.648713105742736,4.187016504829432,3.6717713231717863,1.8145146672287353,Zimbabwe,ACCESS-ESM1-5,1.3006741949943474,0.5958180309828951,0.04645406945527819,0.047552331618796906
1890,21.289675437523837,2.8557539004176475,3.769601030141202,1.8458717099633697,Zimbabwe,ACCESS-ESM1-5,1.3269691683110365,0.6129516374378253,0.026294973316689063,0.017133606454930228
1891,22.084398244622815,2.583931509071377,3.367577158284869,1.5866833128435387,Zimbabwe,ACCESS-ESM1-5,1.2141935416708847,0.4616458708081303,-0.11277562664015184,-0.15130576662969503
1892,20.820827068004988,3.950033527846897,3.618252843376269,1.8224333969065634,Zimbabwe,ACCESS-ESM1-5,1.2859912693782223,0.6001726393256593,0.07179772770733761,0.13852676851752904
1893,21.875820277034627,2.9282280709621626,3.8506162011108804,1.8874361642692208,Zimbabwe,ACCESS-ESM1-5,1.3482331877292926,0.6352193813144076,0.06224191835107029,0.03504674198874824
1894,20.63761916890797,3.451053989157154,4.018154898400762,2.026117470902944,Zimbabwe,ACCESS-ESM1-5,1.3908228167698171,0.7061213858351268,0.042589629040524546,0.07090200452071926
1895,21.437490422375827,3.5220436211705493,4.054809248530282,1.9533942365569679,Zimbabwe,ACCESS-ESM1-5,1.3999036454079599,0.6695684935594803,0.009080828638142746,-0.03655289227564651
1896,21.0744173053164,4.097593237099199,4.176398436573231,2.1045860753405154,Zimbabwe,ACCESS-ESM1-5,1.4294492570858004,0.7441188090052981,0.029545611677840533,0.0745503154458178
1897,21.099595263290457,3.4407306862968396,4.040557519000571,1.9457998778557781,Zimbabwe,ACCESS-ESM1-5,1.3963826822045853,0.6656731407859218,-0.033066574881215116,-0.07844566821937637
1898,21.20174008730449,3.4605762617163625,4.033818418512342,2.0079061932560673,Zimbabwe,ACCESS-ESM1-5,1.3947134257554898,0.6970924842322902,-0.0016692564490954354,0.03141934344636843
1899,21.277893382754247,3.4817493388714214,4.027149209182065,1.957363881097074,Zimbabwe,ACCESS-ESM1-5,1.3930587333761137,0.6715986093498436,-0.0016546923793760993,-0.025493874882446588
1900,22.37471645568874,2.6758369619299684,3.6472147362334986,1.7131750613332157,Zimbabwe,ACCESS-ESM1-5,1.2939637903326815,0.5383484098782131,-0.09909494304343225,-0.13325019947163053
1901,21.764212350588068,3.97334009632426,3.5299630301535996,1.6907104590415907,Zimbabwe,ACCESS-ESM1-5,1.2612873978460566,0.5251488305613159,-0.032676392486624906,-0.013199579316897192
1902,21.955382140863353,2.4366732154331747,3.5907409726454973,1.7016092391983313,Zimbabwe,ACCESS-ESM1-5,1.278358580268429,0.53157441460138,0.017071182422372377,0.006425584040064103
1903,21.76534257087822,3.057152330522916,3.589744120746606,1.7253603816652652,Zimbabwe,ACCESS-ESM1-5,1.2780809244019158,0.5454359455706251,-0.0002776558665131823,0.01386153096924514
1904,20.911865770786946,3.415733644830917,3.544843658967986,1.7316651398897147,Zimbabwe,ACCESS-ESM1-5,1.2654940571689768,0.5490834542020656,-0.012586867232939003,0.003647508631440477
1905,21.11854740339071,3.4597894174770603,3.7585506236124973,1.818220022168507,Zimbabwe,ACCESS-ESM1-5,1.3240334106447182,0.5978580127275462,0.05853935347574146,0.04877455852548063
1906,21.85057902591578,3.0610416732492527,3.6100965528200573,1.7619256336241982,Zimbabwe,ACCESS-ESM1-5,1.2837345179206574,0.5664073209616682,-0.04029889272406084,-0.031450691765878
1907,21.305854576709777,4.773362027515455,3.3106391574760434,1.6045683833013187,Zimbabwe,ACCESS-ESM1-5,1.1971412696831323,0.4728548003550119,-0.08659324823752512,-0.09355252060665636
1908,21.799179047614476,3.637188481630745,3.736141012952125,1.8240249179585748,Zimbabwe,ACCESS-ESM1-5,1.318053264020496,0.6010455527203262,0.12091199433736377,0.12819075236531435
1909,20.90715999497558,3.746588434985181,3.8207286710511776,1.9008831288492871,Zimbabwe,ACCESS-ESM1-5,1.3404411560117915,0.6423185828416905,0.022387891991295428,0.041273030121364296
1910,21.386320032255167,3.992118033123507,3.7098293649578302,1.7894121232777787,Zimbabwe,ACCESS-ESM1-5,1.3109858822887988,0.581887143160257,-0.029455273722992725,-0.060431439681433496
1911,21.630176501288393,2.937808706037453,3.9101109171631627,1.9189143921677823,Zimbabwe,ACCESS-ESM1-5,1.363565741155834,0.6517596053831528,0.0525798588670352,0.06987246222289578
1912,21.5287648118896,3.6256293922467937,3.569222952353252,1.7105869538687841,Zimbabwe,ACCESS-ESM1-5,1.2723479116948324,0.536836559494975,-0.09121782946100154,-0.11492304588817781
1913,21.417144526661662,3.2087754207065804,3.949608465710627,1.902107216141593,Zimbabwe,ACCESS-ESM1-5,1.3736164513951559,0.6429623327456004,0.10126853970032346,0.10612577325062544
1914,22.023910566211015,2.78511527589708,3.5294708331477094,1.6886569050245916,Zimbabwe,ACCESS-ESM1-5,1.261147954084356,0.5239334822144001,-0.11246849731079989,-0.11902885053120038
1915,22.118804330689553,2.685198398223831,3.4314037412113803,1.639495097142521,Zimbabwe,ACCESS-ESM1-5,1.2329694314537598,0.4943883268391259,-0.02817852263059617,-0.029545155375274135
1916,22.08900988246775,3.0588335213254556,2.86701931737338,1.2912711425004295,Zimbabwe,ACCESS-ESM1-5,1.0532729247136854,0.2556271149869223,-0.17969650674007442,-0.23876121185220361
1917,21.38861643853186,3.5084528406973243,3.4199186636319956,1.6898278640166453,Zimbabwe,ACCESS-ESM1-5,1.2296167682279602,0.5246266681358945,0.1763438435142748,0.2689995531489722
1918,22.34136420350778,2.43991468299057,3.3281388032609076,1.5767597085337903,Zimbabwe,ACCESS-ESM1-5,1.2024132297998291,0.4553719238496535,-0.027203538428131058,-0.06925474428624101
1919,20.66185903676527,3.8198891453904382,3.7957574028513004,1.938815403939747,Zimbabwe,ACCESS-ESM1-5,1.333883970078278,0.6620771700471375,0.13147074027844896,0.20670524619748398
1920,22.233408499435935,2.4634831162857087,3.883657421737887,1.8443970550750197,Zimbabwe,ACCESS-ESM1-5,1.3567773441028375,0.6121524246645907,0.022893374024559376,-0.049924745382546765
1921,21.01549555289875,3.7092954827021183,3.9090216344512307,1.9664759454079546,Zimbabwe,ACCESS-ESM1-5,1.363287121318713,0.6762430806297899,0.006509777215875534,0.06409065596519914
1922,22.015840809136144,2.8657811375032383,3.8516820350668906,1.8389381789461186,Zimbabwe,ACCESS-ESM1-5,1.3485099451152391,0.6091883283883539,-0.014777176203473852,-0.06705475224143598
1923,21.328411179411546,2.8352156267045494,4.168596748249936,2.0771753135614834,Zimbabwe,ACCESS-ESM1-5,1.4275794679670606,0.7310089484390135,0.07906952285182145,0.12182062005065963
1924,21.95011394615122,3.1667316612608687,3.742565690089006,1.7990076884074597,Zimbabwe,ACCESS-ESM1-5,1.319771389619596,0.5872352286710257,-0.10780807834746464,-0.1437737197679878
1925,21.311993312051914,4.376199260493729,4.120132413786632,2.0719136352558465,Zimbabwe,ACCESS-ESM1-5,1.41588530211358,0.7284726417021963,0.09611391249398404,0.14123741303117054
1926,21.692101318691904,3.2629220156216614,4.04288087469532,1.9413256743902565,Zimbabwe,ACCESS-ESM1-5,1.39695752564263,0.6633710770211662,-0.018927776470949897,-0.06510156468103012
1927,21.462381067840433,3.00035063797601,4.029749784533451,1.9841783607815537,Zimbabwe,ACCESS-ESM1-5,1.3937042858259403,0.6852049044094319,-0.0032532398166897902,0.02183382738826578
1928,20.837428397177828,4.35912546846009,3.968312794756427,1.971306020751622,Zimbabwe,ACCESS-ESM1-5,1.3783410156394549,0.6786962777887638,-0.015363270186485423,-0.00650862662066809
1929,21.098181256842633,3.5089597473887566,4.113792642377557,1.9285979769862946,Zimbabwe,ACCESS-ESM1-5,1.4143453870381708,0.6567933021390675,0.03600437139871593,-0.021902975649696343
