year,tas,pr,gpp,npp,region,model,ln_gpp,ln_npp,pct_growth_gpp,pct_growth_npp
1883,7.184308669556249,0.56067701495137,1.3128347195351462,0.9335114213812954,Lithuania,CNRM-ESM2-1,0.2721887073781756,-0.0688020810657849,-0.07262656713703552,-0.07186595829327116
1884,7.060987387182536,0.18109876786156404,1.0711570285821235,0.6734116717719224,Lithuania,CNRM-ESM2-1,0.06873939937559176,-0.39539843980673334,-0.20344930800258382,-0.32659635874094844
1885,5.195837681043126,0.2780677177280636,0.7908382049927485,0.5738512855938723,Lithuania,CNRM-ESM2-1,-0.23466187702570845,-0.555385000561947,-0.3034012764013002,-0.1599865607552136
1886,5.154431737612394,0.7387651861405024,1.585334760473949,1.1245460599585322,Lithuania,CNRM-ESM2-1,0.4607955903748748,0.11737945196835917,0.6954574674005832,0.6727644525303061
1887,4.642495908693661,0.24453311255302493,0.9194613771427409,0.650586574183624,Lithuania,CNRM-ESM2-1,-0.08396724001491497,-0.4298809012092645,-0.5447628303897898,-0.5472603531776237
1888,7.186455852909204,0.6385368680815661,1.7533153803499486,1.1906214095897516,Lithuania,CNRM-ESM2-1,0.5615084986849506,0.1744753637607192,0.6454757386998655,0.6043562649699836
1889,6.839707716850398,0.41237666413514024,0.9890208261187057,0.7281863263261884,Lithuania,CNRM-ESM2-1,-0.011039889827136655,-0.3171983207774573,-0.5725483885120872,-0.4916736845381765
1890,5.79855856699489,0.5310576741690467,1.3229776507223578,0.9463135145920296,Lithuania,CNRM-ESM2-1,0.27988499211209594,-0.05518135406086334,0.2909248819392326,0.26201696671659397
1891,4.535806427698731,0.27256482258856485,0.9842599476628207,0.6639412689776176,Lithuania,CNRM-ESM2-1,-0.015865242363724493,-0.40956158375257795,-0.29575023447582044,-0.3543802296917146
1892,3.826794015544749,0.473788870637216,1.4489955545275588,1.0020606425292595,Lithuania,CNRM-ESM2-1,0.3708705953749425,0.0020585223176087476,0.386735837738667,0.4116201060701867
1893,6.1820702679081405,0.6100287887107396,1.344294386068356,0.941220648276373,Lithuania,CNRM-ESM2-1,0.29586925536904213,-0.060577684124379264,-0.07500134000590036,-0.06263620644198802
1894,4.6209679451163,0.5497377179474505,1.2136340466509739,0.8479808095348523,Lithuania,CNRM-ESM2-1,0.19361920291952722,-0.16489727371180662,-0.1022500524495149,-0.10431958958742736
1895,5.660691910138439,0.9557305722708423,2.201564240072717,1.444150189858423,Lithuania,CNRM-ESM2-1,0.7891681259254445,0.3675210446592572,0.5955489230059172,0.5324183183710638
1896,6.176540399142084,0.6212255437504223,1.4820768057060432,1.0665224118480356,Lithuania,CNRM-ESM2-1,0.393444351243569,0.064403273099501,-0.3957237746818755,-0.3031177715597562
1897,6.409156443974779,0.34965745582068747,1.3757514935668695,0.9416064209180809,Lithuania,CNRM-ESM2-1,0.31900012259542604,-0.06016790390248007,-0.07444422864814298,-0.12457117700198107
1898,8.195428996325651,0.7272806587686724,1.6761537180346924,1.1008399315997033,Lithuania,CNRM-ESM2-1,0.5165017150585961,0.09607346261142251,0.19750159246317006,0.15624136651390258
1899,7.009128518300542,0.5841034404801484,1.725606583706218,1.1978007303516096,Lithuania,CNRM-ESM2-1,0.5455786313997513,0.1804871505922448,0.029076916341155168,0.08441368798082229
1900,6.981257998671178,0.41352027165596933,1.4287020345891832,0.9945991913933427,Lithuania,CNRM-ESM2-1,0.356766363972222,-0.00541544569866956,-0.18881226742752927,-0.18590259629091435
1901,8.826668294270862,0.5163534460805818,1.473975823138817,0.9834160404746148,Lithuania,CNRM-ESM2-1,0.38796339142015557,-0.016723012896105824,0.031197027447933567,-0.011307567197436263
1902,8.067293600840136,0.36939572902125795,1.1190435523135251,0.7604840072831858,Lithuania,CNRM-ESM2-1,0.11247434931727959,-0.27380019671733746,-0.27548904210287595,-0.2570771838212316
1903,6.133566493204228,0.6337081025271956,1.6185415756337633,1.1372586548973225,Lithuania,CNRM-ESM2-1,0.48152548181065574,0.12862067781257008,0.3690511324933762,0.40242087452990755
1904,5.414636481298202,0.734784387345397,2.173034916881732,1.4420256647491267,Lithuania,CNRM-ESM2-1,0.776124769659568,0.36604883672734717,0.29459928784891226,0.2374281589147771
1905,5.935026097406554,0.8191953928609375,2.1088090669262516,1.3616075168650308,Lithuania,CNRM-ESM2-1,0.7461233648835054,0.308665999433537,-0.030001404776062612,-0.05738283729381016
1906,6.341481025033924,0.2981993786831902,1.1774984387802279,0.8167003328340666,Lithuania,CNRM-ESM2-1,0.16339222103089254,-0.20248304108270587,-0.5827311438526128,-0.5111490405162429
